symbol,channel,type,timestamp_received,timestamp_start,open,high,low,close,volume_base,volume_quote,price_change,price_change_pct,price_range,price_range_pct,candle_type,timeframe
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183805,2025-06-08 21:00:00,21.32,21.46,21.32,21.46,1343.0031,28728.657604,0.14000000000000057,0.6566604127579764,0.14000000000000057,0.6566604127579764,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183807,2025-06-08 21:05:00,21.46,21.47,21.42,21.47,749.0758,16059.148566,0.00999999999999801,0.046598322460382154,0.04999999999999716,0.23299161230194387,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183810,2025-06-08 21:10:00,21.47,21.47,21.42,21.45,705.0738,15115.335042,-0.019999999999999574,-0.09315323707498638,0.04999999999999716,0.23288309268745766,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183812,2025-06-08 21:15:00,21.45,21.47,21.41,21.46,871.7605,18692.510271,0.010000000000001563,0.04662004662005391,0.05999999999999872,0.2797202797202738,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183814,2025-06-08 21:20:00,21.46,21.48,21.42,21.47,1357.5615,29119.042557,0.00999999999999801,0.046598322460382154,0.05999999999999872,0.27958993476234256,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183816,2025-06-08 21:25:00,21.47,21.48,21.43,21.44,465.1636,9979.443437,-0.029999999999997584,-0.13972985561247128,0.05000000000000071,0.2328830926874742,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183819,2025-06-08 21:30:00,21.44,21.46,21.44,21.45,487.6884,10462.480934,0.00999999999999801,0.04664179104476684,0.019999999999999574,0.09328358208955025,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183821,2025-06-08 21:35:00,21.45,21.46,21.39,21.43,498.1981,10676.814524,-0.019999999999999574,-0.09324009324009126,0.07000000000000028,0.32634032634032767,bearish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183823,2025-06-08 21:40:00,21.43,21.45,21.41,21.45,484.1648,10376.899208,0.019999999999999574,0.09332711152589628,0.03999999999999915,0.18665422305179255,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183825,2025-06-08 21:45:00,21.45,21.45,21.42,21.43,632.9556,13567.931701,-0.019999999999999574,-0.09324009324009126,0.029999999999997584,0.1398601398601286,bearish,5m
